id,text
1244401283072552960,Support Kelly by signing “Why You Must Act Now” and I’ll deliver a copy to your officials too:…
1244401284548939776,: The economic fallout from the coronavirus crisis could cost the Kushner family its Times Square property. Kushner Cos…
1244401284477829121,: I know .....Purely by Accident.. Trump has proven time and time again that (these people) are…
1244401284532371462,": Due to aka Ill be sending the first people to like,FOLLOW ME &amp; retweet this $100 -$500…"
1244401284704321537,: The first US death from the coronavirus was February . The th death was Thursday. The th death was today.
1244401284570103809,": - Next Stop - New York City ""...our nation, specifically the people of New York, have requested our assistance a…"
1244401284570124288,"I wanna fight. lmfao dead ass, LETS FIGHT CUS YALL MFS DONT KNOW HOW TO STAY INSIDE SO WASSUP."
1244401284683268100,: My best friend buried her husband today. He had a lot of anxiety issues &amp; was totally freaked out about . I wond…
1244401284725256195,: Rhode Island Public School Teacher Offers to Pay for Someone With Coronavirus to Cough on President Trump …
1244401284695953409,": “Employees at a Tunisian factory are churning out ,000 face masks a day and other medical gear after opting to go into lockd…"
1244401284683194370,: i don’t like it. too long.
1244401284687462400,Have to stop watching these coronavirus rallies masquerading as press conferences.... each time my bl…
1244401284708478977,: Mr. Falwell who is a staunch ally of Trump &amp; an influential voice in the evangelical world reopened the university last…
1244401284830109696,: Relief package billions can’t buy hospitals out of shortages amid coronavirus outbreak
1244401284825915394,": Just to put Fauci's estimate of over ,000 US killed by in perspective: That's nearly TWICE the of US sol…"
1244401284964376576,: When this corona shit ov with I needa go on a big ass date
1244401284985348096,Falwell is a jerk.
1244401284985188352,": So this happened twice today, with and : Reporters read Trump quote back to him, Trump denies and attacks.…"
1244401284947382275,: I hope everyone in America gets to see this. I wonder if it would be possible to run it alongside his COVID-19 “press brief…
1244401285064990722,: Miami nurse dead from corona
1244401285044060165,: Straight up: The more people disrespect the basic premise of a lockdown the longer and more restricted our lockdowns are g…
1244401288353173504,": This grandfather is visiting his wife at her memory care center to remind her that he loves her, even though they have to keep…"
1244401288198184961,: Sorry fam but I don't see us surviving that long
1244401288214798337,": Really, now you attack homeschooling? I’d wager the average homeschooled kid in America fares better in virtually any m…"
1244401288399462401,": “This is for real...Lord have mercy, Help us Lord...This is for real...Please stay inside, y’all.” Man films what appear…"
1244401288407912449,": Trump says coronavirus 'peak in death rate' likely in weeks, extends social-distancing guidelines through April https:…"
1244401288458240006,": Video emerges showing Trump talking about cutting pandemic team in , despite saying last week 'I didn't know about…"
1244401288521158657,: Even pastors are waiting for corona virus to clear so they can continue healing the sick.
1244401288516902912,: This is day in the hospital with Covid19 and I am off oxygen! Y’all this is a big deal! No fever and I can breathe = Our F…
1244401288432865280,"Hi Kamna, there may be some of the information you're looking for here: S…"
1244401288542109701,: Fox is right to be concerned. Very concerned. This could be a legal bloodbath. Discovery will undoubtedly show that its per…
1244401288563036160,: Highly recommended by Governor of Ohio. must move quickly!
1244401288466649089,: ok that’s enough activism for today i think
1244401288722255872,": people complaining about another days on lockdown, well maybe you should STAY THE FUCK INSIDE THEN LIKE YOU’RE SUPPOSED TO"
1244401288625913857,: President Trump is now lashing out at who literally read his comments back to him about wanting to be appreciated b…
1244401288785342466,: i’ve decided i’m pushing my birthday back to june due to the ongoing corona situation
1244401288818749441,": Like everyone else, I've been looking for ways to grasp what is happening. This week, I write about the Florentine Codex, the…"
1244401288600670208,: It's hard to read this story and not conclude one thing: The Trump Administration failed the American people.
1244401288869224450,: Rhode Island Public School Teacher Offers to Pay for Someone With Coronavirus to Cough on President Trump
1244401288718229505,: And this my friends is exactly the problem. I am an asthmatic. If I dropped dead from an asthma attack today after my run…
1244401288869183493,": Just to put Fauci's estimate of over ,000 US killed by in perspective: That's nearly TWICE the of US sol…"
1244401288827351041,Don't let you down in this . Let's bring the most delightful contents to your . Have a good read…
1244401288810553345,: Fox is right to be concerned. Very concerned. This could be a legal bloodbath. Discovery will undoubtedly show that its per…
1244401288907042821,": “‘I’m not allowed to talk to you because I’m an employee here,’ one student living on campus wrote in an email. But, he ple…"
1244401288831537153,": President Trump says Cigna, Humana will waive patient payments for COVID-19 treatment"
1244401288965533696,: President Trump is now lashing out at who literally read his comments back to him about wanting to be appreciated b…
1244401288978153472,This guy got twitter take corona
1244401289079009282,: How Coronavirus Has Changed New York City’s Transit Landscape
1244401289032851457,": The number one killer in America is Heart disease. ,002 people a day. Did you know that if you die from heart disease…"
1244401288907014145,": So this happened twice today, with and : Reporters read Trump quote back to him, Trump denies and attacks.…"
1244401288626012165,How might Coronavirus drive the reshaping of business?
1244401292656574464,President Trump said last month that the virus was “very much under control” and that a vaccine would be available…
1244401292845502471,": If you are able to do so (I'm not - less than year from having transfusions myself), please give blood!"
1244401292983730177,: Pls pls pls stop hanging out w your friends !!!!!!! I understand y’all didn’t have jobs to begin with so this lockdown ain’t…
1244401292971311104,": Trump says he plans to take a coronavirus test again. ""I think I will take it again, if it's appropriate,"" he says. Bu…"
