57,Our govt. got around 3 months since corona virus outbreak in the world but they are unable to provide normal hygienic and basic facilities to its people.
58,Lockdown Buddy https://t.co/WmDD2nhASj https://t.co/3LzysVALAH
59,"The Sun has lost huge sales already this year. 11% down (pre-#COVID19) It is struggling. Now they're posting that their rag 'costs less than a cup of coffee'. So please, do the right thing. Buy a coffee. https://t.co/kBTr0eMSNZ"
60,One month ago. I will always believe that he saved a lot of lives. https://t.co/76qRGVP2yL
61,"In India- New Delhi crosses the 1000 mark for confirmed #COVID19 cases.

Mumbai was the first city to cross 1000 cases. 

Both- the National Capital and the Financial Capital of the country are amongst the worst hit cities. 

#Coronavirusindia"
62,Govt should announce some relief package for middle class also who does not cover under BPL or not registered anywhere for govt scheme and their income has affected due to corona. Middle class always pays their taxes honestly. Now it’s their time to get some relief.@narendramodi https://t.co/jzeBQMOy5H
63,"An important backstory to the hydroxychloroquine enthusiasm is the weird paranoid fears of virus vaccine research. Apparently, Bill Gates is researching vaccines in order to insert controlling microchips into our bodies. - more to come -"
64,"95-year-old Bill Kelly and 104-year-old William Lapschies—two great Oregon veterans—have ""collectively survived World War II, the Great Depression, the Spanish Flu epidemic … and now COVID-19.""

America salutes you! 🇺🇸 https://t.co/D71pLcdsTI"
65,"🚨ATTENTION MUSIC LOVERS🚨

@KINGASTROTIME dropped a new Single titled #Corona 🚀🚨

Download Link :https://t.co/sNMZkEYUwr"
66,"England &amp; Wales population: 59 million.

Fines issued by police after almost 3 weeks of a supposed lockdown: 1,084. 

Bloody police state. 

#COVID19 #coronavirus"
67,1/N I was asked this morning: what’s the best thing that @narendramodi has done on corona virus. My ans: a relatively effective national lockdown; what’s the worst? : a weak social security net for those most affected.
68,"Great!

First, I would like to speak with Dr. AI Fen. 

She worked at Wuhan Central Hospital and tried to sound the alarm on the virus.

Could you un-disappear her so we could speak?

https://t.co/yvxGSKSEk9"
69,"Young people are falling seriously ill from #COVID19.

New evidence from the U.S. and Europe suggests they aren’t as impervious to the #coronavirus as originally thought. More @business: https://t.co/3asiEwg6cf #CoronavirusOutbreak https://t.co/pzBgWsOJvt"
70,#LATEST Total number of positive #coronavirus cases in #Nevada increases to 2700. Clark County has 2258. Virus-related deaths in Clark County now at 96. #nevadahealthresponse #snhd #coronavirusoutbreak #kxnt #vegas #stayhomefornevada #stayconnectedtogether #covid19
71,"100's of homeless children earn and live on the streets across the state. Completely voiceless and chased away in the lockdown where are they now ? They need to be found and brought into shelter homes urgently. Help. 
@KTRTRS"
72,"dance monkey deffo started coronavirus, everything was fine before that horrid song was created"
73,"When there is a lockdown, all the cinema halls, events etc are closed and it starts trending
#UninstallBookMyShow
Owner of Book my show trying to understand the situation 👇 https://t.co/nNzKOPiiPp"
74,Just trying to hold things together right now...seems appropriate for the unprecedented times in which we're living. A Sedge Wren taken last year.  #SouthDakota #birding #COVID__19 #coronavirus https://t.co/wwbUzHwlyz
75,"Total COVID19 positive cases in the state now stands at 529, death toll 40: Madhya Pradesh Health Department"
76,"“If people saw this, they would stay home.” 

Doctors invited @NickKristof inside two hard-hit New York hospitals to observe first-hand the fight against the coronavirus. https://t.co/bVKPkRxoK3 https://t.co/pL7NGz01Og"
77,Please watch and share.
78,"Today the US passed Italy in the number of deaths caused by #COVIDー19, and leads the world in such deaths. The failure of @realDonaldTrump to take this virus seriously at the early stages when it mattered most has resulted in numerous preventable deaths.

#SaturdayMorning Facts"
